doi|title|authors|author_corresponding|author_corresponding_institution|date|version|type|license|category|jatsxml|abstract|published|server
10.1101/183467|Integrating genomic resources for a threatened Caribbean coral (Orbicella faveolata) using a genetic linkage map developed from individual larval genotypes|Snelling, J.; Dziedzic, K.; Guermond, S.; Meyer, E.|Eli  Meyer|Oregon State University|2017-09-01|1|new results|cc_by_nd|genomics|https://www.biorxiv.org/content/early/2017/09/01/183467.source.xml|Genomic methods are powerful tools for studying evolutionary responses to selection, but the application of these tools in non-model systems threatened by climate change has been limited by the availability of genomic resources in those systems. High-throughput DNA sequencing has enabled development of genome and transcriptome assemblies in non-model systems including reef-building corals, but the fragmented nature of early draft assemblies often obscures the relative positions of genes and genetic markers, and limits the functional interpretation of genomic studies in these systems. To address this limitation and improve genomic resources for the study of adaptation to ocean warming in corals, weve developed a genetic linkage map for the mountainous star coral, Orbicella faveolata. We analyzed genetic linkage among multilocus SNP genotypes to infer the relative positions of markers, transcripts, and genomic scaffolds in an integrated genomic map. To illustrate the utility of this resource, we tested for genetic associations with bleaching responses and fluorescence phenotypes, and estimated genome-wide patterns of population differentiation. Mapping the significant markers identified from these analyses in the integrated genomic resource identified hundreds of genes linked to significant markers, highlighting the utility of this resource for genomic studies of corals. The functional interpretations drawn from genomic studies are often limited by the availability of genomic resources linking genes to genetic markers. The resource developed in this study provides a framework for comparing genetic studies of O. faveolata across genotyping methods or references, and illustrates an approach for integrating genomic resources that may be broadly useful in other non-model systems.|NA|biorxiv
10.1101/183327|Entorhinal cortex receptive fields are modulated by spatial attention, even without movement.|Wilming, N.; König, P.; König, S.; Buffalo, E. A.|Niklas  Wilming|University Medical Center Hamburg-Eppendorf|2017-09-01|1|new results|cc_by_nc_nd|neuroscience|https://www.biorxiv.org/content/early/2017/09/01/183327.source.xml|Grid cells have been identified in the entorhinal cortex in a variety of species and allow for the precise decoding of position in space (1-7). Along with potentially playing an important role in navigation, grid cells have recently been hypothesized to make a general contribution to mental operations, including remembering the past and thinking about the future (8,9). A prerequisite for this hypothesis is that grid cell activity does not critically depend on physical movement. Directed attention, which contributes to virtually all mental operations and can be separated from physical movement provides a good test case to investigate this hypothesis. Overt attention in the form of fixational eye movements leads to grid-like firing fields in the monkey entorhinal cortex (3). Here we show that movement of covert attention, without any physical movement, also elicits spatial receptive fields with a triangular tiling of the space. In monkeys trained to maintain central fixation while covertly attending to a stimulus moving in the periphery we identified a significant population (20/141, 14% neurons at a FDR<5%) of entorhinal cells with spatially structured receptive fields. Further, we were able to identify a population of neurons that were labeled as grid cells on an individual basis. This contrast with our recordings obtained in the hippocampus, where grid-like representations were not observed. Our results provide compelling evidence that neurons in macaque entorhinal cortex do not rely on physical movement. Notably, these results support the notion that grid cells may be capable of serving a variety of different cognitive functions and suggest that grid cells are a versatile component of many neural algorithms.|10.7554/eLife.31745|biorxiv
10.1101/183558|Cell size control driven by the circadian clock and environment in cyanobacteria|Martins, B. M. C.; Tooke, A. K.; Thomas, P.; Locke, J. C. W.|James C. W. Locke|Sainsbury Laboratory, University of Cambridge, UK|2017-09-01|1|new results|cc_by_nc|systems biology|https://www.biorxiv.org/content/early/2017/09/01/183558.source.xml|How cells maintain their size has been extensively studied under constant conditions. In the wild, however, cells rarely experience constant environments. Here, we examine how the 24-hour circadian clock and environmental cycles modulate cell size control and division timings in the cyanobacterium Synechococcus elongatus using single-cell time-lapse microscopy. Under constant light, wild type cells follow an apparent sizer-like principle. Closer inspection reveals that the clock generates two subpopulations, with cells born in the subjective day following different division rules from cells born in subjective night. A stochastic model explains how this behaviour emerges from the interaction of cell size control with the clock. We demonstrate that the clock continuously modulates the probability of cell division throughout day and night, rather than solely applying an on-off gate to division as previously proposed. Iterating between modelling and experiments, we go on to show that the combined effects of the environment and the clock on cell division are explained by an effective coupling function. Under naturally graded light-dark cycles, this coupling shifts cell division away from dusk and dawn, when light levels are low and cell growth is reduced. Our analysis allows us to disentangle, and predict the effects of, the complex interactions between the environment, clock, and cell size control.|10.1073/pnas.1811309115|biorxiv
10.1101/178624|Interpretable dimensionality reduction of single cell transcriptome data with deep generative models|Ding, J.; Condon, A. E.; Shah, S. P.|Sohrab P. Shah|BC Cancer Research Centre|2017-09-01|1|new results|cc_by_nc_nd|bioinformatics|https://www.biorxiv.org/content/early/2017/09/01/178624.source.xml|Single-cell RNA-sequencing has great potential to discover cell types, identify cell states, trace development lineages, and reconstruct the spatial organization of cells. However, dimension reduction to interpret structure in single-cell sequencing data remains a challenge. Existing algorithms are either not able to uncover the clustering structures in the data, or lose global information such as groups of clusters that are close to each other. We present a robust statistical model, scvis, to capture and visualize the low-dimensional structures in single-cell gene expression data. Simulation results demonstrate that low-dimensional representations learned by scvis preserve both the local and global neighbour structures in the data. In addition, scvis is robust to the number of data points and learns a probabilistic parametric mapping function to add new data points to an existing embedding. We then use scvis to analyze four single-cell RNA-sequencing datasets, exemplifying interpretable two-dimensional representations of the high-dimensional single-cell RNA-sequencing data.|10.1038/s41467-018-04368-5|biorxiv
10.1101/181875|Integrated transcriptome and epigenome analyses identify alternative splicing as a novel candidate linking histone modifications to embryonic stem cell fate decision|Xu, Y.; Jin, G.; Liu, L.; Guo, D.; Zhou, X.|Xiaobo  Zhou|University of Texas, Health Science Center at Houston|2017-09-01|1|new results|cc_by_nc_nd|bioinformatics|https://www.biorxiv.org/content/early/2017/09/01/181875.source.xml|BackgroundUnderstanding the embryonic stem cell (ESC) fate decision between self-renewal and proper differentiation is important for developmental biology and regenerative medicine. Attention has focused on mechanisms involving histone modifications, alternative pre-mRNA splicing, and cell-cycle progression. However, their intricate interrelations and joint contributions to ESC fate decision remain unclear.\n\nResultsWe analyze the transcriptomes and epigenomes of human ESC and five types of differentiated cells. We identify thousands of alternatively spliced exons and reveal their development and lineage-dependent characterizations. Several histone modifications show dynamic changes in alternatively spliced exons and three are strongly associated with 52.8% of alternative splicing events upon hESC differentiation. The histone modification-associated alternatively spliced genes predominantly function in G2/M phases and ATM/ATR-mediated DNA damage response pathway for cell differentiation, whereas other alternatively spliced genes are enriched in the G1 phase and pathways for self-renewal. These results imply a potential epigenetic mechanism by which some histone modifications contribute to ESC fate decision through the regulation of alternative splicing in specific pathways and cell-cycle genes. Supported by experimental validations and extended dataset from Roadmap/ENCODE projects, we exemplify this mechanism by a cell cycle-related transcription factor, PBX1, which regulates the pluripotency regulatory network by binding to NANOG. We suggest that the isoform switch from PBX1a to PBX1b links H3K36me3 to hESC fate determination through the PSIP1/SRSF1 adaptor, which results in the exon skipping of PBX1.\n\nConclusionWe reveal the mechanism by which alternative splicing links histone modifications to stem cell fate decision.|10.1186/s13059-018-1512-3|biorxiv
10.1101/181875|Integrated transcriptome and epigenome analyses identify alternative splicing as a novel candidate linking histone modifications to embryonic stem cell fate decision|Xu, Y.; Jin, G.; Liu, L.; Guo, D.; Zhou, X.|Xiaobo  Zhou|University of Texas, Health Science Center at Houston|2017-09-07|2|new results|cc_by_nc_nd|bioinformatics|https://www.biorxiv.org/content/early/2017/09/07/181875.source.xml|BackgroundUnderstanding the embryonic stem cell (ESC) fate decision between self-renewal and proper differentiation is important for developmental biology and regenerative medicine. Attention has focused on mechanisms involving histone modifications, alternative pre-mRNA splicing, and cell-cycle progression. However, their intricate interrelations and joint contributions to ESC fate decision remain unclear.\n\nResultsWe analyze the transcriptomes and epigenomes of human ESC and five types of differentiated cells. We identify thousands of alternatively spliced exons and reveal their development and lineage-dependent characterizations. Several histone modifications show dynamic changes in alternatively spliced exons and three are strongly associated with 52.8% of alternative splicing events upon hESC differentiation. The histone modification-associated alternatively spliced genes predominantly function in G2/M phases and ATM/ATR-mediated DNA damage response pathway for cell differentiation, whereas other alternatively spliced genes are enriched in the G1 phase and pathways for self-renewal. These results imply a potential epigenetic mechanism by which some histone modifications contribute to ESC fate decision through the regulation of alternative splicing in specific pathways and cell-cycle genes. Supported by experimental validations and extended dataset from Roadmap/ENCODE projects, we exemplify this mechanism by a cell cycle-related transcription factor, PBX1, which regulates the pluripotency regulatory network by binding to NANOG. We suggest that the isoform switch from PBX1a to PBX1b links H3K36me3 to hESC fate determination through the PSIP1/SRSF1 adaptor, which results in the exon skipping of PBX1.\n\nConclusionWe reveal the mechanism by which alternative splicing links histone modifications to stem cell fate decision.|10.1186/s13059-018-1512-3|biorxiv
10.1101/182857|Estimating the scale of biomedical data generation using text mining|Rosenfeld, G.; Lin, D.|Gabriel  Rosenfeld|National Institute of Allergy and Infectious Diseases|2017-09-01|1|new results|cc_no|bioinformatics|https://www.biorxiv.org/content/early/2017/09/01/182857.source.xml|While the impact of biomedical research has traditionally been measured using bibliographic metrics such as citation or journal impact factor, the data itself is an output which can be directly measured to provide additional context about a publications impact. Data are a resource that can be repurposed and reused providing dividends on the original investment used to support the primary work. Moreover, it is the cornerstone upon which a tested hypothesis is rejected or accepted and specific scientific conclusions are reached. Understanding how and where it is being produced enhances the transparency and reproducibility of the biomedical research enterprise. Most biomedical data are not directly deposited in data repositories and are instead found in the publication within figures or attachments making it hard to measure. We attempted to address this challenge by using recent advances in word embedding to identify the technical and methodological features of terms used in the free text of articles methods sections. We created term usage signatures for five types of biomedical research data, which were used in univariate clustering to correctly identify a large fraction of positive control articles and a set of manually annotated articles where generation of data types could be validated. The approach was then used to estimate the fraction of PLOS articles generating each biomedical data type over time. Out of all PLOS articles analyzed (n = 129,918), ~7%, 19%, 12%, 18%, and 6% generated flow cytometry, immunoassay, genomic microarray, microscopy, and high-throughput sequencing data. The estimate portends a vast amount of biomedical data being produced: in 2016, if other publishers generated a similar amount of data then roughly 40,000 NIH-funded research articles would produce ~56,000 datasets consisting of the five data types we analyzed.\n\nOne Sentence SummaryApplication of a word-embedding model trained on the methods sections of research articles allows for estimation of the production of diverse biomedical data types using text mining.|NA|biorxiv
10.1101/183772|Assessing actimeters for inclusion in the Healthy Brain Network|Clucas, J.; White, C.; Koo, B.; Milham, M.; Klein, A.|Jonathan  Clucas|Child Mind Institute|2017-09-01|1|confirmatory results|cc_by|bioinformatics|https://www.biorxiv.org/content/early/2017/09/01/183772.source.xml|BackgroundThe Healthy Brain Network is an openly shared pediatric psychiatric biobank with a target of 10,000 participants between the ages of 5 and 21, inclusively In adding ecological actimetry to the Healthy Brain Network, we intend to use appropriate, accurate, reliable tools. Currently a wide range of personal activity trackers are commercially available, providing a wide variety of sensor configurations. For many of these devices, accelerometry provides the basis of measuring both physical activity and sleep with comparable derivative measures.\n\nResultsIn order to include an ecological biotracker in the Healthy Brain Network protocol, we first evaluated the specifications of a variety of actimeters available for purchase. We then acquired physical instances of 5 of these devices (ActiGraph wGT3X-BT, Empatica Embrace, Empatica E4, GENEActiv Original, and Wavelet Wristband) and wore each of them in our daily lives, annotating our activities and evaluating the reasonableness of the data from each device and the logistical affordances of each device.\n\nConclusionsWe decided that the ActiGraph wGT3X-BT is the most appropriate device for inclusion in the Healthy Brain Network. However, none of the devices we evaluated was clearly superior or inferior to the rest; rather, each device seems to have use cases in which that device excels beyond the others.|NA|biorxiv
10.1101/183749|Layered structure and complex mechanochemistry of a strong bacterial adhesive|Hernando-Perez, M.; Setayeshgar, S.; Hou, Y.; Temam, R.; Dragnea, B.; Brun, Y. V.; Berne, C.|Cecile  Berne|Indiana University|2017-09-01|1|new results|cc_no|biophysics|https://www.biorxiv.org/content/early/2017/09/01/183749.source.xml|While designing adhesives that perform in aqueous environments has proven challenging for synthetic adhesives, microorganisms commonly produce bioadhesives that efficiently attach to a variety of substrates, including wet surfaces that remain a challenge for industrial adhesives. The aquatic bacterium Caulobacter crescentus uses a discrete polar polysaccharide complex, the holdfast, to strongly attach to surfaces and resist flow. The holdfast is extremely versatile and has an impressive adhesive strength. Here, we use atomic force microscopy (AFM) to unravel the complex structure of the holdfast and characterize its chemical constituents and their role in adhesion. We used purified holdfasts to dissect the intrinsic properties of this component as a biomaterial, without the effect of the bacterial cell body. Our data support a model where the holdfast is a heterogeneous material composed of two layers: a stiff nanoscopic core, covered by a sparse, flexible brush layer. These two layers contain not only N-acetyl-D-glucosamine (NAG), the only yet identified component present in the holdfast, but also peptides and DNA, which provide structure and adhesive character. Biochemical experiments suggest that, while polypeptides are the most important components for adhesive force, the presence of DNA mainly impacts the brush layer and initial adhesion, and NAG plays a primarily structural role within the core. Moreover, our results suggest that holdfast matures structurally, becoming more homogeneous over time. The unanticipated complexity of both the structure and composition of the holdfast likely underlies its distinctive strength as a wet adhesive and could inform the development of a versatile new family of adhesives.|10.1128/mbio.02359-17|biorxiv
10.1101/183640|Neurochondrin interacts with the SMN protein suggesting a novel mechanism for Spinal Muscular Atrophy pathology.|Thompson, L.; Morrison, K.; Shirran, S.; Botting, C.; Sleeman, J.|Judith  Sleeman|University of St. Andrews|2017-09-01|1|new results|cc_no|cell biology|https://www.biorxiv.org/content/early/2017/09/01/183640.source.xml|Spinal Muscular Atrophy (SMA) is an inherited neurodegenerative condition caused by reduction in functional Survival Motor Neurones Protein (SMN). SMN has been implicated in transport of mRNA in neural cells for local translation. We previously identified microtubule-dependant mobile vesicles rich in SMN and the splicing factor SmB, a member of the Sm protein family, in neural cells. By comparing the proteome of SmB to that of SmN, a neural-specific Sm protein, we now show that the essential neural protein neurochondrin (NCDN) interacts with Sm proteins and SMN in the context of mobile vesicles in neurites. NCDN has roles in protein localisation in neural cells, and in maintenance of cell polarity. NCDN is required for the correct localisation of SMN, suggesting they may both be required for formation and transport of trafficking vesicles. NCDN provides a potential therapeutic target for SMA together with, or in place of, those targeting SMN expression.|10.1242/jcs.211482|biorxiv
