|html_url|pdf_url
0|https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00842-z|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00842-z.pdf
3|https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00464-1|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00464-1.pdf
13|https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00847-8|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00847-8.pdf
14|https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-023-00074-6|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-023-00074-6.pdf
32|https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-023-00431-2|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-023-00431-2.pdf
50|https://bmcchem.biomedcentral.com/articles/10.1186/s13065-024-01237-9|https://bmcchem.biomedcentral.com/counter/pdf/10.1186/s13065-024-01237-9.pdf
51|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-023-00299-3|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-023-00299-3.pdf
52|https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-021-00051-x|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-021-00051-x.pdf
54|https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00862-9|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00862-9.pdf
77|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-024-00302-5|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-024-00302-5.pdf
78|https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-020-00046-0|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-020-00046-0.pdf
108|https://crimesciencejournal.biomedcentral.com/articles/10.1186/s40163-024-00202-0|https://crimesciencejournal.biomedcentral.com/counter/pdf/10.1186/s40163-024-00202-0.pdf
